Time,Open,High,Low,Close
2025-02-27 01:45:00,2915.9,2916.67,2915.82,2916.45
2025-02-27 01:50:00,2916.42,2916.46,2913.3,2913.44
2025-02-27 01:55:00,2913.4,2913.43,2910.98,2912.63
2025-02-27 02:00:00,2912.61,2912.65,2911.83,2912.15
2025-02-27 02:05:00,2912.23,2913.82,2910.85,2913.81
2025-02-27 02:10:00,2913.84,2914.86,2913.31,2913.46
2025-02-27 02:15:00,2913.49,2914,2912.93,2913.89
2025-02-27 02:20:00,2913.87,2914.51,2913.22,2913.71
2025-02-27 02:25:00,2913.73,2914.56,2912.93,2913
2025-02-27 02:30:00,2913.05,2913.4,2912.06,2912.49
2025-02-27 02:35:00,2912.45,2913.08,2912.12,2912.66
2025-02-27 02:40:00,2912.7,2913.37,2912.47,2912.93
2025-02-27 02:45:00,2912.95,2912.98,2908.74,2909.15
2025-02-27 02:50:00,2909.11,2909.27,2904.89,2908.66
2025-02-27 02:55:00,2908.59,2908.87,2904.26,2906.65
2025-02-27 03:00:00,2906.78,2908.87,2906.67,2907.98
2025-02-27 03:05:00,2908.05,2908.83,2906.85,2907.27
2025-02-27 03:10:00,2907.26,2908.13,2906.85,2907.29
2025-02-27 03:15:00,2907.28,2907.87,2906.1,2906.19
2025-02-27 03:20:00,2906.22,2908.31,2906.17,2907.83
2025-02-27 03:25:00,2907.84,2909.14,2907.32,2908.26
2025-02-27 03:30:00,2908.09,2908.88,2906.85,2907.69
2025-02-27 03:35:00,2907.72,2908.1,2906.37,2906.51
2025-02-27 03:40:00,2906.54,2907.99,2906.52,2907.49
2025-02-27 03:45:00,2907.46,2907.49,2906.41,2906.47
2025-02-27 03:50:00,2906.29,2906.8,2905.22,2906.77
2025-02-27 03:55:00,2906.59,2907.23,2905.63,2905.63
2025-02-27 04:00:00,2905.75,2906.19,2905.31,2905.78
2025-02-27 04:05:00,2905.74,2906.16,2904.71,2904.73
2025-02-27 04:10:00,2904.74,2905.11,2904.19,2905.06
2025-02-27 04:15:00,2905.05,2906.35,2904.31,2906.25
2025-02-27 04:20:00,2906.24,2906.43,2905.26,2906.3
2025-02-27 04:25:00,2906.32,2906.32,2903.39,2903.71
2025-02-27 04:30:00,2903.7,2903.72,2900.52,2900.72
2025-02-27 04:35:00,2900.71,2901.65,2900.44,2901.4
2025-02-27 04:40:00,2901.42,2902.11,2901.14,2901.55
2025-02-27 04:45:00,2901.56,2901.56,2899.66,2900.11
2025-02-27 04:50:00,2900.11,2900.15,2896.74,2896.74
2025-02-27 04:55:00,2896.73,2899.24,2896.31,2897.31
2025-02-27 05:00:00,2897.39,2898.48,2893.32,2895.78
2025-02-27 05:05:00,2895.96,2896.92,2895.45,2895.85
2025-02-27 05:10:00,2895.93,2896.35,2894.9,2895.93
2025-02-27 05:15:00,2895.97,2896.26,2891.22,2891.91
